methods,count,module,date_added
.dot,23,pandas,2020-09-03 22:46:09.138425+00:00
.str.strip,23,pandas,2020-09-03 22:46:09.138425+00:00
.month,23,pandas,2020-09-03 22:46:09.138425+00:00
.strftime,23,pandas,2020-09-03 22:46:09.138425+00:00
.to_numeric,23,pandas,2020-09-03 22:46:09.138425+00:00
.between,23,pandas,2020-09-03 22:46:09.138425+00:00
.to_string,22,pandas,2020-09-03 22:46:09.138425+00:00
.cut,22,pandas,2020-09-03 22:46:09.138425+00:00
.read_html,22,pandas,2020-09-03 22:46:09.138425+00:00
.dt.strftime,22,pandas,2020-09-03 22:46:09.138425+00:00
.combine,22,pandas,2020-09-03 22:46:09.138425+00:00
.from_dict,22,pandas,2020-09-03 22:46:09.138425+00:00
.value,21,pandas,2020-09-03 22:46:09.138425+00:00
.year,20,pandas,2020-09-03 22:46:09.138425+00:00
.str.find,20,pandas,2020-09-03 22:46:09.138425+00:00
.select_dtypes,19,pandas,2020-09-03 22:46:09.138425+00:00
.dt.date,19,pandas,2020-09-03 22:46:09.138425+00:00
.abs,18,pandas,2020-09-03 22:46:09.138425+00:00
.round,18,pandas,2020-09-03 22:46:09.138425+00:00
.dtype,18,pandas,2020-09-03 22:46:09.138425+00:00
.str.len,18,pandas,2020-09-03 22:46:09.138425+00:00
.nunique,18,pandas,2020-09-03 22:46:09.138425+00:00
.str.join,17,pandas,2020-09-03 22:46:09.138425+00:00
.bfill,17,pandas,2020-09-03 22:46:09.138425+00:00
.info,17,pandas,2020-09-03 22:46:09.138425+00:00
.dt.month,17,pandas,2020-09-03 22:46:09.138425+00:00
.to_timedelta,16,pandas,2020-09-03 22:46:09.138425+00:00
.rank,16,pandas,2020-09-03 22:46:09.138425+00:00
.intersection,16,pandas,2020-09-03 22:46:09.138425+00:00
.notnull,16,pandas,2020-09-03 22:46:09.138425+00:00
.last,15,pandas,2020-09-03 22:46:09.138425+00:00
.mod,15,pandas,2020-09-03 22:46:09.138425+00:00
.ExcelWriter,14,pandas,2020-09-03 22:46:09.138425+00:00
.Grouper,14,pandas,2020-09-03 22:46:09.138425+00:00
.strptime,13,pandas,2020-09-03 22:46:09.138425+00:00
.insert,13,pandas,2020-09-03 22:46:09.138425+00:00
.str.lower,12,pandas,2020-09-03 22:46:09.138425+00:00
.std,12,pandas,2020-09-03 22:46:09.138425+00:00
.lt,12,pandas,2020-09-03 22:46:09.138425+00:00
.pct_change,12,pandas,2020-09-03 22:46:09.138425+00:00
.today,12,pandas,2020-09-03 22:46:09.138425+00:00
.dt.time,11,pandas,2020-09-03 22:46:09.138425+00:00
.from_records,11,pandas,2020-09-03 22:46:09.138425+00:00
.empty,11,pandas,2020-09-03 22:46:09.138425+00:00
.dt.tz,11,pandas,2020-09-03 22:46:09.138425+00:00
.wide_to_long,11,pandas,2020-09-03 22:46:09.138425+00:00
.squeeze,11,pandas,2020-09-03 22:46:09.138425+00:00
.hour,10,pandas,2020-09-03 22:46:09.138425+00:00
.idxmin,10,pandas,2020-09-03 22:46:09.138425+00:00
.str.startswith,10,pandas,2020-09-03 22:46:09.138425+00:00
.dt.year,10,pandas,2020-09-03 22:46:09.138425+00:00
.str.zfill,10,pandas,2020-09-03 22:46:09.138425+00:00
.now,10,pandas,2020-09-03 22:46:09.138425+00:00
.sample,10,pandas,2020-09-03 22:46:09.138425+00:00
.to_sql,10,pandas,2020-09-03 22:46:09.138425+00:00
.second,9,pandas,2020-09-03 22:46:09.138425+00:00
.Categorical,9,pandas,2020-09-03 22:46:09.138425+00:00
.to_json,9,pandas,2020-09-03 22:46:09.138425+00:00
.str.rstrip,9,pandas,2020-09-03 22:46:09.138425+00:00
.dt.hour,9,pandas,2020-09-03 22:46:09.138425+00:00
.style,9,pandas,2020-09-03 22:46:09.138425+00:00
.transpose,9,pandas,2020-09-03 22:46:09.138425+00:00
.tail,9,pandas,2020-09-03 22:46:09.138425+00:00
.read_sql_query,9,pandas,2020-09-03 22:46:09.138425+00:00
.product,9,pandas,2020-09-03 22:46:09.138425+00:00
.itertuples,8,pandas,2020-09-03 22:46:09.138425+00:00
.from_arrays,8,pandas,2020-09-03 22:46:09.138425+00:00
.ravel,8,pandas,2020-09-03 22:46:09.138425+00:00
.describe,8,pandas,2020-09-03 22:46:09.138425+00:00
.factorize,8,pandas,2020-09-03 22:46:09.138425+00:00
.hist,8,pandas,2020-09-03 22:46:09.138425+00:00
.pipe,7,pandas,2020-09-03 22:46:09.138425+00:00
.str.isnumeric,7,pandas,2020-09-03 22:46:09.138425+00:00
.week,7,pandas,2020-09-03 22:46:09.138425+00:00
.floor,7,pandas,2020-09-03 22:46:09.138425+00:00
.nth,7,pandas,2020-09-03 22:46:09.138425+00:00
.set_option,7,pandas,2020-09-03 22:46:09.138425+00:00
.from_tuples,7,pandas,2020-09-03 22:46:09.138425+00:00
.ngroup,7,pandas,2020-09-03 22:46:09.138425+00:00
.test,6,pandas,2020-09-03 22:46:09.138425+00:00
.str.slice,6,pandas,2020-09-03 22:46:09.138425+00:00
.item,6,pandas,2020-09-03 22:46:09.138425+00:00
.asfreq,6,pandas,2020-09-03 22:46:09.138425+00:00
.contains,6,pandas,2020-09-03 22:46:09.138425+00:00
.eval,6,pandas,2020-09-03 22:46:09.138425+00:00
.quantile,6,pandas,2020-09-03 22:46:09.138425+00:00
.lookup,5,pandas,2020-09-03 22:46:09.138425+00:00
.read_fwf,5,pandas,2020-09-03 22:46:09.138425+00:00
.to_series,5,pandas,2020-09-03 22:46:09.138425+00:00
.dt.to_period,5,pandas,2020-09-03 22:46:09.138425+00:00
.read_sql,5,pandas,2020-09-03 22:46:09.138425+00:00
.dt.floor,5,pandas,2020-09-03 22:46:09.138425+00:00
.argsort,5,pandas,2020-09-03 22:46:09.138425+00:00
.cummin,5,pandas,2020-09-03 22:46:09.138425+00:00
.dt.week,4,pandas,2020-09-03 22:46:09.138425+00:00
.dt.minute,4,pandas,2020-09-03 22:46:09.138425+00:00
.nlargest,4,pandas,2020-09-03 22:46:09.138425+00:00
.Interval,4,pandas,2020-09-03 22:46:09.138425+00:00
.str.upper,4,pandas,2020-09-03 22:46:09.138425+00:00
.view,4,pandas,2020-09-03 22:46:09.138425+00:00
.isocalendar,4,pandas,2020-09-03 22:46:09.138425+00:00
.codes,4,pandas,2020-09-03 22:46:09.138425+00:00
.union,4,pandas,2020-09-03 22:46:09.138425+00:00
.read_json,4,pandas,2020-09-03 22:46:09.138425+00:00
.read_table,4,pandas,2020-09-03 22:46:09.138425+00:00
.tz_localize,4,pandas,2020-09-03 22:46:09.138425+00:00
.set_axis,4,pandas,2020-09-03 22:46:09.138425+00:00
.groups,4,pandas,2020-09-03 22:46:09.138425+00:00
