methods,count,module,date_added
.to_numpy,19,pandas,2020-09-03 22:45:36.104841+00:00
.assign,19,pandas,2020-09-03 22:45:36.104841+00:00
.json_normalize,18,pandas,2020-09-03 22:45:36.104841+00:00
.cut,18,pandas,2020-09-03 22:45:36.104841+00:00
.read_sql,18,pandas,2020-09-03 22:45:36.104841+00:00
.dt.year,17,pandas,2020-09-03 22:45:36.104841+00:00
.style,17,pandas,2020-09-03 22:45:36.104841+00:00
.diff,17,pandas,2020-09-03 22:45:36.104841+00:00
.sample,16,pandas,2020-09-03 22:45:36.104841+00:00
.from_product,16,pandas,2020-09-03 22:45:36.104841+00:00
.to_frame,15,pandas,2020-09-03 22:45:36.104841+00:00
.idxmax,15,pandas,2020-09-03 22:45:36.104841+00:00
.pop,15,pandas,2020-09-03 22:45:36.104841+00:00
.second,15,pandas,2020-09-03 22:45:36.104841+00:00
.transpose,14,pandas,2020-09-03 22:45:36.104841+00:00
.first,14,pandas,2020-09-03 22:45:36.104841+00:00
.std,14,pandas,2020-09-03 22:45:36.104841+00:00
.delete,14,pandas,2020-09-03 22:45:36.104841+00:00
.strptime,14,pandas,2020-09-03 22:45:36.104841+00:00
.tail,14,pandas,2020-09-03 22:45:36.104841+00:00
.dt.strftime,13,pandas,2020-09-03 22:45:36.104841+00:00
.corr,13,pandas,2020-09-03 22:45:36.104841+00:00
.product,13,pandas,2020-09-03 22:45:36.104841+00:00
.str.extract,13,pandas,2020-09-03 22:45:36.104841+00:00
.pct_change,13,pandas,2020-09-03 22:45:36.104841+00:00
.hist,12,pandas,2020-09-03 22:45:36.104841+00:00
.explode,12,pandas,2020-09-03 22:45:36.104841+00:00
.duplicated,12,pandas,2020-09-03 22:45:36.104841+00:00
.today,12,pandas,2020-09-03 22:45:36.104841+00:00
.ffill,11,pandas,2020-09-03 22:45:36.104841+00:00
.ewm,11,pandas,2020-09-03 22:45:36.104841+00:00
.abs,11,pandas,2020-09-03 22:45:36.104841+00:00
.mask,11,pandas,2020-09-03 22:45:36.104841+00:00
.test,11,pandas,2020-09-03 22:45:36.104841+00:00
.last,11,pandas,2020-09-03 22:45:36.104841+00:00
.repeat,11,pandas,2020-09-03 22:45:36.104841+00:00
.describe,11,pandas,2020-09-03 22:45:36.104841+00:00
.intersection,11,pandas,2020-09-03 22:45:36.104841+00:00
.between,10,pandas,2020-09-03 22:45:36.104841+00:00
.dt.day,10,pandas,2020-09-03 22:45:36.104841+00:00
.dt.date,10,pandas,2020-09-03 22:45:36.104841+00:00
.dot,10,pandas,2020-09-03 22:45:36.104841+00:00
.from_tuples,10,pandas,2020-09-03 22:45:36.104841+00:00
.div,10,pandas,2020-09-03 22:45:36.104841+00:00
.Grouper,10,pandas,2020-09-03 22:45:36.104841+00:00
.ndim,10,pandas,2020-09-03 22:45:36.104841+00:00
.str.startswith,10,pandas,2020-09-03 22:45:36.104841+00:00
.to_html,10,pandas,2020-09-03 22:45:36.104841+00:00
.to_list,10,pandas,2020-09-03 22:45:36.104841+00:00
.crosstab,9,pandas,2020-09-03 22:45:36.104841+00:00
.str.strip,9,pandas,2020-09-03 22:45:36.104841+00:00
.str.get,9,pandas,2020-09-03 22:45:36.104841+00:00
